iter	Passed	Remaining
0	43	43882
1	103	51712
2	155	51729
3	204	50954
4	257	51256
5	310	51381
6	362	51369
7	415	51535
8	463	51067
9	529	52438
10	594	53474
11	644	53104
12	703	53394
13	762	53715
14	821	53934
15	884	54415
16	936	54131
17	986	53836
18	1036	53496
19	1094	53652
20	1147	53508
21	1207	53695
22	1255	53334
23	1308	53192
24	1355	52879
25	1405	52636
26	1453	52379
27	1513	52538
28	1563	52336
29	1611	52089
30	1673	52311
31	1732	52397
32	1790	52463
33	1846	52452
34	1904	52503
35	1961	52537
36	2011	52353
37	2061	52177
38	2116	52153
39	2174	52192
40	2222	51986
41	2271	51807
42	2322	51697
43	2382	51764
44	2436	51697
45	2483	51497
46	2527	51252
47	2579	51165
48	2631	51079
49	2691	51130
50	2748	51146
51	2799	51042
52	2858	51079
53	2901	50825
54	2947	50649
55	3002	50615
56	3040	50301
57	3096	50285
58	3149	50235
59	3200	50147
60	3261	50207
61	3304	49989
62	3352	49863
63	3399	49713
64	3445	49565
65	3497	49491
66	3552	49470
67	3611	49500
68	3667	49481
69	3713	49336
70	3765	49272
71	3819	49233
72	3872	49174
73	3926	49136
74	3979	49080
75	4034	49055
76	4077	48880
77	4130	48822
78	4181	48747
79	4231	48661
80	4285	48623
81	4339	48576
82	4382	48421
83	4435	48366
84	4491	48348
85	4548	48342
86	4603	48310
87	4647	48160
88	4706	48171
89	4755	48081
90	4809	48037
91	4860	47967
92	4918	47964
93	4973	47936
94	5017	47803
95	5076	47801
96	5128	47745
97	5181	47690
98	5228	47587
99	5280	47527
100	5336	47503
101	5380	47369
102	5431	47297
103	5483	47239
104	5543	47253
105	5589	47145
106	5645	47113
107	5695	47037
108	5742	46942
109	5793	46876
110	5848	46842
111	5892	46722
112	5945	46671
113	6000	46635
114	6057	46618
115	6110	46567
116	6153	46437
117	6206	46390
118	6264	46378
119	6325	46383
120	6377	46326
121	6426	46251
122	6481	46210
123	6528	46121
124	6581	46069
125	6635	46029
126	6689	45984
127	6753	46011
128	6806	45955
129	6866	45952
130	6914	45870
131	6958	45754
132	6997	45614
133	7048	45554
134	7090	45432
135	7146	45399
136	7203	45374
137	7245	45257
138	7288	45145
139	7347	45132
140	7389	45016
141	7440	44960
142	7495	44922
143	7548	44868
144	7594	44780
145	7636	44667
146	7692	44640
147	7737	44542
148	7796	44531
149	7841	44435
150	7892	44375
151	7949	44347
152	7993	44249
153	8046	44204
154	8092	44116
155	8153	44111
156	8203	44046
157	8251	43975
158	8300	43905
159	8353	43855
160	8397	43762
161	8451	43719
162	8500	43649
163	8557	43624
164	8612	43585
165	8655	43487
166	8708	43437
167	8761	43389
168	8802	43280
169	8856	43238
170	8905	43174
171	8957	43122
172	9018	43113
173	9063	43025
174	9115	42975
175	9157	42875
176	9200	42778
177	9252	42730
178	9309	42700
179	9354	42617
180	9415	42602
181	9460	42521
182	9515	42482
183	9558	42387
184	9612	42347
185	9656	42259
186	9702	42182
187	9755	42135
188	9796	42035
189	9842	41960
190	9893	41906
191	9938	41823
192	9984	41746
193	10039	41709
194	10093	41667
195	10151	41642
196	10196	41561
197	10250	41518
198	10301	41462
199	10353	41414
200	10413	41394
201	10463	41337
202	10522	41310
203	10568	41238
204	10626	41209
205	10682	41174
206	10726	41093
207	10781	41051
208	10832	40997
209	10883	40942
210	10944	40923
211	10998	40882
212	11042	40799
213	11099	40768
214	11152	40719
215	11201	40656
216	11258	40624
217	11315	40591
218	11362	40520
219	11412	40463
220	11457	40387
221	11515	40355
222	11558	40272
223	11609	40216
224	11656	40151
225	11717	40129
226	11761	40050
227	11813	39999
228	11863	39941
229	11915	39890
230	11973	39858
231	12025	39808
232	12081	39771
233	12123	39686
234	12183	39660
235	12225	39578
236	12270	39502
237	12322	39451
238	12380	39420
239	12432	39370
240	12477	39295
241	12538	39272
242	12592	39228
243	12647	39186
244	12701	39141
245	12751	39083
246	12801	39027
247	12863	39006
248	12921	38973
249	12971	38915
250	13019	38851
251	13083	38833
252	13136	38786
253	13184	38724
254	13243	38692
255	13298	38648
256	13354	38608
257	13419	38593
258	13477	38558
259	13524	38492
260	13578	38445
261	13629	38390
262	13681	38338
263	13729	38277
264	13774	38205
265	13817	38128
266	13867	38069
267	13920	38020
268	13964	37947
269	14015	37892
270	14082	37882
271	14131	37821
272	14190	37788
273	14238	37726
274	14285	37663
275	14348	37639
276	14405	37599
277	14453	37538
278	14499	37470
279	14547	37408
280	14596	37349
281	14644	37285
282	14691	37222
283	14740	37163
284	14788	37101
285	14838	37045
286	14886	36983
287	14935	36924
288	14983	36862
289	15031	36800
290	15080	36741
291	15127	36679
292	15175	36617
293	15224	36559
294	15272	36499
295	15319	36436
296	15369	36379
297	15417	36318
298	15478	36288
299	15527	36229
300	15576	36171
301	15623	36110
302	15671	36049
303	15720	35991
304	15767	35930
305	15813	35865
306	15863	35809
307	15910	35748
308	15959	35689
309	16008	35631
310	16056	35572
311	16104	35511
312	16151	35450
313	16198	35390
314	16247	35332
315	16295	35273
316	16344	35215
317	16393	35158
318	16441	35099
319	16489	35040
320	16536	34979
321	16585	34923
322	16634	34865
323	16682	34805
324	16731	34750
325	16781	34694
326	16831	34640
327	16885	34594
328	16940	34551
329	16989	34493
330	17037	34435
331	17085	34376
332	17133	34317
333	17180	34258
334	17228	34200
335	17277	34142
336	17324	34084
337	17373	34026
338	17420	33967
339	17469	33912
340	17517	33853
341	17567	33799
342	17617	33744
343	17665	33688
344	17713	33630
345	17762	33573
346	17811	33519
347	17858	33459
348	17906	33401
349	17954	33344
350	18004	33290
351	18053	33234
352	18100	33176
353	18148	33118
354	18197	33062
355	18245	33005
356	18292	32947
357	18343	32895
358	18392	32840
359	18440	32783
360	18488	32726
361	18537	32670
362	18586	32615
363	18635	32560
364	18685	32507
365	18733	32450
366	18781	32394
367	18830	32338
368	18878	32282
369	18928	32228
370	18975	32171
371	19023	32115
372	19072	32060
373	19120	32004
374	19170	31951
375	19220	31898
376	19270	31844
377	19318	31788
378	19368	31735
379	19415	31678
380	19464	31623
381	19512	31567
382	19560	31512
383	19610	31458
384	19658	31403
385	19708	31349
386	19757	31294
387	19804	31238
388	19852	31181
389	19899	31125
390	19947	31068
391	19996	31014
392	20045	30960
393	20095	30907
394	20142	30851
395	20191	30797
396	20239	30741
397	20286	30684
398	20335	30631
399	20385	30578
400	20434	30524
401	20483	30471
402	20531	30415
403	20578	30358
404	20628	30305
405	20678	30253
406	20726	30198
407	20774	30143
408	20823	30090
409	20871	30035
410	20920	29980
411	20968	29925
412	21015	29870
413	21064	29815
414	21112	29761
415	21160	29706
416	21210	29653
417	21258	29599
418	21306	29544
419	21354	29490
420	21403	29435
421	21450	29380
422	21498	29326
423	21546	29270
424	21594	29216
425	21644	29164
426	21692	29109
427	21741	29056
428	21790	29002
429	21838	28948
430	21886	28894
431	21935	28840
432	21983	28787
433	22032	28734
434	22080	28678
435	22127	28623
436	22177	28571
437	22227	28519
438	22275	28466
439	22323	28411
440	22372	28358
441	22421	28305
442	22469	28251
443	22517	28198
444	22566	28144
445	22615	28091
446	22663	28038
447	22712	27985
448	22761	27932
449	22810	27879
450	22858	27825
451	22906	27771
452	22953	27716
453	23001	27662
454	23049	27608
455	23100	27557
456	23147	27504
457	23196	27451
458	23245	27397
459	23294	27345
460	23344	27294
461	23393	27241
462	23441	27188
463	23491	27136
464	23540	27084
465	23589	27031
466	23637	26978
467	23687	26926
468	23739	26877
469	23789	26826
470	23838	26773
471	23886	26720
472	23934	26666
473	23982	26613
474	24032	26562
475	24085	26514
476	24133	26461
477	24184	26410
478	24234	26358
479	24283	26307
480	24333	26255
481	24381	26202
482	24429	26148
483	24475	26094
484	24522	26039
485	24571	25986
486	24619	25933
487	24670	25883
488	24720	25833
489	24769	25780
490	24818	25728
491	24868	25677
492	24916	25624
493	24965	25571
494	25013	25518
495	25061	25465
496	25109	25412
497	25158	25360
498	25207	25309
499	25256	25256
500	25305	25204
501	25352	25150
502	25400	25097
503	25448	25044
504	25497	24992
505	25545	24939
506	25593	24886
507	25640	24833
508	25690	24782
509	25738	24729
510	25787	24677
511	25835	24624
512	25884	24572
513	25932	24520
514	25980	24467
515	26030	24415
516	26077	24362
517	26126	24311
518	26176	24259
519	26224	24207
520	26272	24154
521	26320	24102
522	26369	24049
523	26417	23997
524	26466	23945
525	26515	23894
526	26563	23841
527	26611	23788
528	26661	23738
529	26710	23686
530	26758	23634
531	26807	23582
532	26857	23531
533	26905	23479
534	26958	23431
535	27012	23383
536	27068	23338
537	27116	23285
538	27164	23233
539	27215	23183
540	27262	23130
541	27310	23077
542	27358	23025
543	27405	22972
544	27453	22919
545	27501	22867
546	27549	22815
547	27598	22764
548	27647	22712
549	27698	22662
550	27748	22611
551	27796	22559
552	27846	22508
553	27893	22455
554	27941	22403
555	27988	22350
556	28037	22299
557	28086	22247
558	28135	22195
559	28184	22145
560	28234	22094
561	28284	22043
562	28331	21990
563	28379	21938
564	28426	21885
565	28473	21832
566	28521	21780
567	28570	21729
568	28618	21677
569	28667	21626
