sno,total_0_30,total_30_60,total_60_plus,rent_0_30,rent_30_60,rent_60_plus,return_0_30,return_30_60,return_60_plus
500101001,1,0,0,1,0,0,1,0,0
500101002,1,0,0,1,0,0,1,0,0
500101003,1,0,0,1,0,0,1,0,0
500101004,1,0,0,1,0,0,1,0,0
500101005,1,0,0,1,0,0,1,0,0
500101006,1,0,0,1,0,0,1,0,0
500101007,1,0,0,1,0,0,1,0,0
500101008,1,0,0,1,0,0,1,0,0
500101009,1,0,0,1,0,0,1,0,0
500101010,1,0,0,1,0,0,1,0,0
500101012,1,0,0,1,0,0,1,0,0
500101013,1,0,0,1,0,0,1,0,0
500101014,1,0,0,1,0,0,1,0,0
500101015,1,0,0,1,0,0,1,0,0
500101016,1,0,0,1,0,0,1,0,0
500101018,1,0,0,1,0,0,1,0,0
500101019,1,0,0,1,0,0,1,0,0
500101020,1,0,0,1,0,0,1,0,0
500101021,1,0,0,1,0,0,1,0,0
500101022,0,0,1,0,1,0,0,1,0
500101023,1,0,0,1,0,0,1,0,0
500101024,0,1,0,1,0,0,0,1,0
500101025,0,0,1,1,0,0,0,0,1
500101026,0,1,0,1,0,0,1,0,0
500101027,0,1,0,0,1,0,1,0,0
500101028,1,0,0,1,0,0,1,0,0
500101029,1,0,0,1,0,0,1,0,0
500101030,0,1,0,1,0,0,1,0,0
500101031,1,0,0,1,0,0,1,0,0
500101032,0,0,1,0,0,1,1,0,0
500101033,0,1,0,0,1,0,1,0,0
500101034,1,0,0,1,0,0,1,0,0
500101035,1,0,0,1,0,0,1,0,0
500101036,1,0,0,1,0,0,1,0,0
500101037,1,0,0,1,0,0,1,0,0
500101038,1,0,0,1,0,0,1,0,0
500101039,1,0,0,1,0,0,1,0,0
500101040,1,0,0,1,0,0,1,0,0
500101041,0,1,0,1,0,0,0,1,0
500101042,1,0,0,1,0,0,1,0,0
500101091,0,1,0,1,0,0,1,0,0
500101092,1,0,0,1,0,0,1,0,0
500101093,1,0,0,1,0,0,1,0,0
500101094,1,0,0,1,0,0,1,0,0
500101095,0,1,0,0,1,0,1,0,0
500101097,0,1,0,0,1,0,1,0,0
500101098,1,0,0,1,0,0,1,0,0
500101099,0,1,0,0,1,0,1,0,0
500101100,0,1,0,0,1,0,1,0,0
500101101,0,0,1,1,0,0,0,1,0
500101102,1,0,0,1,0,0,1,0,0
500101103,1,0,0,1,0,0,1,0,0
500101104,1,0,0,1,0,0,1,0,0
500101105,0,1,0,1,0,0,0,1,0
500101107,0,1,0,1,0,0,1,0,0
500101108,1,0,0,1,0,0,1,0,0
500101109,0,1,0,1,0,0,0,1,0
500101110,0,0,1,1,0,0,0,1,0
500101111,1,0,0,1,0,0,1,0,0
500101113,0,1,0,0,1,0,1,0,0
500101114,0,1,0,1,0,0,0,1,0
500101115,0,1,0,1,0,0,0,1,0
500101116,0,1,0,0,1,0,1,0,0
500101117,1,0,0,1,0,0,1,0,0
500101118,1,0,0,1,0,0,1,0,0
500101119,1,0,0,1,0,0,1,0,0
500101120,0,1,0,1,0,0,0,1,0
500101122,1,0,0,1,0,0,1,0,0
500101123,0,1,0,1,0,0,1,0,0
500101124,1,0,0,1,0,0,1,0,0
500101125,0,1,0,1,0,0,1,0,0
500101126,1,0,0,1,0,0,1,0,0
500101127,0,1,0,0,1,0,1,0,0
500101128,0,1,0,1,0,0,1,0,0
500101129,1,0,0,1,0,0,1,0,0
500101130,1,0,0,1,0,0,1,0,0
500101131,0,1,0,1,0,0,0,1,0
500101132,0,1,0,1,0,0,0,1,0
500101133,0,1,0,1,0,0,1,0,0
500101134,1,0,0,1,0,0,1,0,0
500101135,1,0,0,1,0,0,1,0,0
500101136,1,0,0,1,0,0,1,0,0
500101137,0,0,1,1,0,0,0,1,0
500101138,0,1,0,1,0,0,1,0,0
500101139,0,1,0,1,0,0,1,0,0
500101140,1,0,0,1,0,0,1,0,0
500101141,1,0,0,1,0,0,1,0,0
500101142,0,1,0,1,0,0,1,0,0
500101143,1,0,0,1,0,0,1,0,0
500101144,0,0,1,1,0,0,0,1,0
500101145,1,0,0,1,0,0,1,0,0
500101146,1,0,0,1,0,0,1,0,0
500101147,1,0,0,1,0,0,1,0,0
500101148,0,1,0,1,0,0,1,0,0
500101149,1,0,0,1,0,0,1,0,0
500101150,0,1,0,1,0,0,1,0,0
500101151,1,0,0,1,0,0,1,0,0
500101152,0,1,0,1,0,0,1,0,0
500101153,1,0,0,1,0,0,1,0,0
500101154,1,0,0,1,0,0,1,0,0
500101155,1,0,0,1,0,0,1,0,0
500101156,0,1,0,1,0,0,0,1,0
500101157,1,0,0,1,0,0,1,0,0
500101158,1,0,0,1,0,0,1,0,0
500101159,0,1,0,1,0,0,1,0,0
500101160,1,0,0,1,0,0,1,0,0
500101161,1,0,0,1,0,0,1,0,0
500101162,1,0,0,1,0,0,1,0,0
500101163,1,0,0,1,0,0,1,0,0
500101165,1,0,0,1,0,0,1,0,0
500101166,0,1,0,1,0,0,1,0,0
500101167,0,1,0,1,0,0,0,1,0
500101168,0,1,0,1,0,0,0,1,0
500101169,0,1,0,0,1,0,1,0,0
500101170,0,1,0,0,1,0,1,0,0
500101171,0,1,0,1,0,0,1,0,0
500101172,0,1,0,1,0,0,1,0,0
500101173,1,0,0,1,0,0,1,0,0
500101174,0,1,0,1,0,0,1,0,0
500101175,1,0,0,1,0,0,1,0,0
500101176,1,0,0,1,0,0,1,0,0
500101177,1,0,0,1,0,0,1,0,0
500101179,1,0,0,1,0,0,1,0,0
500101180,1,0,0,1,0,0,1,0,0
500101181,0,0,1,0,0,1,0,1,0
500101182,0,1,0,1,0,0,1,0,0
500101184,1,0,0,1,0,0,1,0,0
500101185,1,0,0,1,0,0,1,0,0
500101186,1,0,0,1,0,0,1,0,0
500101187,1,0,0,1,0,0,1,0,0
500101188,1,0,0,1,0,0,1,0,0
500101189,1,0,0,1,0,0,1,0,0
500101190,1,0,0,1,0,0,1,0,0
500101191,0,1,0,1,0,0,1,0,0
500101192,0,1,0,1,0,0,1,0,0
500101193,0,1,0,0,1,0,1,0,0
500101194,1,0,0,1,0,0,1,0,0
500101196,0,1,0,1,0,0,1,0,0
500101197,1,0,0,1,0,0,1,0,0
500101198,1,0,0,1,0,0,1,0,0
500101199,1,0,0,1,0,0,1,0,0
500101200,1,0,0,1,0,0,1,0,0
500101201,1,0,0,1,0,0,1,0,0
500101202,1,0,0,1,0,0,1,0,0
500101203,0,1,0,1,0,0,1,0,0
500101204,1,0,0,1,0,0,1,0,0
500101205,1,0,0,1,0,0,1,0,0
500101206,0,1,0,0,1,0,1,0,0
