sno,latitude,longitude,day_of_year,seconds_of_day
500101001,25.02605,121.5436,130,2956
500101002,25.02565,121.54357,130,17463
500101003,25.02429,121.54124,130,18302
500101004,25.02351,121.54282,130,21074
500101005,25.02153,121.54299,130,3782
500101006,25.02429,121.54328,130,18063
500101007,25.02253,121.54326,130,5462
500101008,25.02112,121.53407,130,7804
500101009,25.01976,121.53384,130,10804
500101010,25.01894,121.53361,130,18902
500101012,25.01986,121.52982,129,77403
500101013,25.02543,121.54332,130,21375
500101014,25.01717,121.53202,130,21796
500101015,25.02089,121.54697,129,85335
500101016,25.01927,121.52989,130,17295
500101018,25.01895,121.53156,130,16262
500101019,25.024461,121.546705,130,19322
500101020,25.02093,121.5331,306,13694
500101021,25.01385,121.53549,130,14175
500101022,25.01491,121.53438,130,14956
500101023,25.01244,121.53661,130,14055
500101024,25.01451,121.54142,130,4635
500101025,25.01295,121.53973,130,8342
500101026,25.01137,121.54062,130,3182
500101027,25.01182,121.54165,130,18242
500101028,25.01426,121.54382,130,16804
500101029,25.01234,121.54503,129,86056
500101030,25.0136,121.54656,130,19742
500101031,25.01537,121.54698,130,21796
500101032,25.01637,121.54535,130,17894
500101033,25.01664,121.5452,130,22037
500101034,25.01576,121.54291,130,1818
500101035,25.01787,121.5476,130,13022
500101036,25.02032,121.54497,130,974
500101037,25.02076,121.54432,130,9302
500101038,25.02101,121.54284,130,17702
500101039,25.02104,121.54081,130,12482
500101040,25.0222,121.53626,130,14822
500101041,25.02218,121.53474,130,2294
500101042,25.01727,121.54471,130,19742
500101091,25.022864,121.546622,130,10682
500101092,25.021641,121.54704,130,19442
500101093,25.021469,121.544069,129,82804
500101094,25.02193,121.53165,130,6375
500101095,25.0189,121.55013,130,19275
500101097,25.01856,121.55558,130,18781
500101098,25.01623,121.55037,130,4803
500101099,25.021,121.55211,130,17161
500101100,25.0181,121.55929,130,662
500101101,25.02397,121.55266,130,13022
500101102,25.02705,121.55551,130,9302
500101103,25.02694,121.55325,130,16321
500101104,25.02021,121.52942,130,4
500101105,25.02669,121.52529,130,4203
500101107,25.02638,121.52971,130,18063
500101108,25.02621,121.53171,130,18781
500101109,25.0266,121.52973,130,18063
500101110,25.0276,121.52217,130,19203
500101111,25.02715,121.52293,43,45556
500101113,25.02895,121.5379,130,9063
500101114,25.02657,121.53515,130,9004
500101115,25.02606,121.53738,130,18421
500101116,25.02984,121.53107,130,19322
500101117,25.03383,121.52815,58,3915
500101118,25.03519,121.5245,130,11404
500101119,25.03325,121.52436,130,17881
500101120,25.03164,121.52661,130,18902
500101122,25.0237,121.54899,129,79396
500101123,25.02215,121.54839,130,17463
500101124,25.02721,121.54988,130,15841
500101125,25.02952,121.55406,130,19561
500101126,25.02931,121.55721,130,17881
500101127,25.04177,121.53833,130,19561
500101128,25.04003,121.53299,130,18902
500101129,25.03753,121.53523,130,13622
500101130,25.03534,121.5354,130,21074
500101131,25.03701,121.54348,130,21494
500101132,25.03935,121.53828,129,82804
500101133,25.04035,121.5436,130,15002
500101134,25.0332,121.5439,130,18421
500101135,25.03358,121.54141,130,16262
500101136,25.03317,121.54639,130,9302
500101137,25.04092,121.54825,130,18004
500101138,25.03754,121.55285,130,18421
500101139,25.03333,121.54977,130,18842
500101140,25.03706,121.55166,130,15554
500101141,25.03304,121.55171,130,14582
500101142,25.04463,121.53665,130,17881
500101143,25.04448,121.53946,130,11522
500101144,25.03332,121.53435,130,17161
500101145,25.03318,121.55725,130,15002
500101146,25.03513,121.5561,130,15542
500101147,25.0391,121.5569,130,14536
500101148,25.03635,121.53833,130,19083
500101149,25.04091,121.53295,130,19561
500101150,25.04239,121.53324,130,17942
500101151,25.03126,121.54339,130,17402
500101152,25.04189,121.53376,130,15002
500101153,25.04201,121.54612,130,19742
500101154,25.04405,121.5486,130,19442
500101155,25.03336,121.5364,130,19322
500101156,25.0328,121.53746,130,8883
500101157,25.03569,121.5451,130,15903
500101158,25.03473,121.54767,130,10682
500101159,25.04253,121.54407,130,13982
500101160,25.04153,121.5524,130,19454
500101161,25.04159,121.54937,130,19561
500101162,25.04427,121.55291,130,18242
500101163,25.02979,121.54053,130,16682
500101165,25.0277,121.55132,130,16923
500101166,25.02472,121.54417,130,662
500101167,25.04122,121.55745,130,18601
500101168,25.03756,121.54587,130,7095
500101169,25.03305,121.55378,130,19442
500101170,25.02681,121.54668,130,15181
500101171,25.03748,121.55564,130,19742
500101172,25.03331,121.55265,130,18842
500101173,25.0287,121.54904,130,10204
500101174,25.02861,121.54336,130,19742
500101175,25.02575,121.5377,130,4082
500101176,25.01223,121.54788,130,1336
500101177,25.04311,121.54313,130,18302
500101179,25.03363,121.52962,130,12482
500101180,25.03597,121.54693,130,19442
500101181,25.01551,121.53374,130,15616
500101182,25.04196,121.53653,130,10804
500101184,25.01744,121.53334,130,8461
500101185,25.02267,121.5341,130,15242
500101186,25.03479,121.54376,130,20954
500101187,25.01783,121.55224,130,9302
500101188,25.01727,121.54904,129,52203
500101189,25.02039,121.54853,130,13022
500101190,25.02347,121.54108,130,16742
500101191,25.02054,121.54561,129,85803
500101192,25.02444,121.54908,130,13622
500101193,25.01705,121.54435,130,15181
500101194,25.03762,121.55009,130,2774
500101196,25.04464,121.54944,130,12004
500101197,25.04172,121.54541,130,19994
500101198,25.04472,121.54401,130,19515
500101199,25.02604,121.534,130,18496
500101200,25.02535,121.55101,130,17822
500101201,25.03333,121.53968,130,18542
500101202,25.03715,121.54936,130,4803
500101203,25.02709,121.54902,130,18781
500101204,25.0371,121.54839,130,18374
500101205,25.02821,121.54864,130,19083
500101206,25.03328,121.5425,130,15002
500101207,25.02055,121.52855,130,17343
500101208,25.03459,121.55164,130,18302
500101209,25.02101,121.54153,130,4082
500101210,25.03002,121.54893,130,10743
500101211,25.03054,121.52466,130,13382
500101212,25.04205,121.55657,130,22037
500101213,25.0401,121.54122,130,3722
500101214,25.03827,121.54802,130,15255
500101215,25.02974,121.55146,130,10804
500101216,25.02268,121.53608,130,4
500101217,25.03303,121.54372,130,3182
500101218,25.02832,121.55592,130,18421
500101219,25.01027,121.53998,129,81004
500101221,25.04132,121.55393,130,17822
500101222,25.03795,121.55466,130,17463
500101223,25.02528,121.55224,130,18601
500101224,25.02208,121.52678,130,4082
500101225,25.03551,121.54951,130,541
500101226,25.02942,121.55294,130,18781
500101227,25.04061,121.54389,130,14582
500101228,25.03813,121.54631,130,16804
500101229,25.02476,121.52803,130,20654
500101230,25.03056,121.55252,130,19083
500101231,25.02014,121.55084,129,83403
500101232,25.02572,121.52359,130,13682
500101233,25.04152,121.54414,130,18676
500101234,25.02468,121.53965,130,13262
500101235,25.03601,121.55742,130,15242
500101236,25.0187,121.55688,130,18362
500101237,25.03817,121.544,130,19561
500101238,25.03804,121.55042,130,14762
500101239,25.02187,121.52912,130,18134
500101240,25.02263,121.53906,130,7682
500101241,25.03276,121.54907,130,15002
500101242,25.01883,121.5544,130,12782
500101243,25.04159,121.5378,130,19442
500101244,25.02324,121.52618,130,15374
500101245,25.01524,121.55121,129,49203
500101246,25.04157,121.5402,130,13202
500101247,25.04173,121.54412,130,18781
500101248,25.02634,121.53342,130,10622
500101250,25.02305,121.54394,130,15242
500101251,25.04199,121.54362,130,17402
500101252,25.03076,121.52781,130,6781
500101253,25.03117,121.54602,130,11282
500101254,25.03626,121.53997,130,19442
500101256,25.02196,121.54899,129,68235
500101257,25.0305,121.54184,130,4803
500101258,25.02878,121.53412,130,16923
500101259,25.02462,121.53347,130,6074
500103001,25.07894,121.51121,130,15315
500103002,25.0741,121.51349,130,18781
500103003,25.07717,121.50934,129,70335
500103004,25.06864,121.5107,130,22154
500103005,25.07158,121.51368,130,3003
500103006,25.06647,121.5165,130,11522
500103007,25.05601,121.50895,130,19742
500103008,25.07378,121.51583,130,16804
500103009,25.07133,121.52024,130,18601
500103010,25.0722,121.51057,130,15002
500103011,25.07567,121.51862,129,65775
500103012,25.07598,121.51409,130,19083
500103013,25.07447,121.52003,130,16742
500103019,25.06326,121.51099,130,13382
500103020,25.06327,121.50943,130,16203
500103021,25.05915,121.51033,130,19322
500103022,25.06853,121.51729,130,17582
500103023,25.0708,121.51826,130,19742
500103024,25.06314,121.51308,130,12482
500103025,25.06325,121.51162,129,84004
500103026,25.06174,121.51969,129,81004
500103027,25.05826,121.52063,130,15604
500103028,25.04991,121.5104,130,18362
500103029,25.05592,121.51367,130,3722
500103030,25.05454,121.51052,130,18004
500103031,25.07049,121.51596,130,20775
500103032,25.06054,121.51338,129,67635
500103033,25.06867,121.51993,130,17582
500103034,25.05369,121.51418,130,10622
500103035,25.06853,121.51359,130,19742
500103036,25.06407,121.51822,130,21494
500103037,25.04925,121.51468,130,19442
500103038,25.06594,121.51078,130,17402
500103039,25.05205,121.50818,129,83403
500103040,25.06011,121.51729,130,18302
500103041,25.07491,121.5115,130,13982
500103042,25.06496,121.51608,130,18542
500103043,25.05918,121.51373,130,662
