sno,latitude,longitude,day_of_year,seconds_of_day,hour,weekday,usage_ratio,is_near_mrt,is_near_park,is_near_school,district_中山區,district_中正區,district_信義區,district_內湖區,district_北投區,district_南港區,district_士林區,district_大同區,district_大安區,district_文山區,district_松山區,district_臺大公館校區,district_萬華區,weekday_sin,weekday_cos,hour_sin,hour_cos
500101001,25.02605,121.5436,130,2956,0,5,0.0357142857142857,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.0,1.0
500101002,25.02565,121.54357,130,17463,4,5,0.1904761904761904,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001
500101003,25.02429,121.54124,130,18302,5,5,0.8571428571428571,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890683,0.25881904510252074
500101004,25.02351,121.54282,130,21074,5,5,0.9090909090909092,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890683,0.25881904510252074
500101005,25.02153,121.54299,130,3782,1,5,0.25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.25881904510252074,0.9659258262890683
500101006,25.02429,121.54328,130,18063,5,5,0.7407407407407407,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890683,0.25881904510252074
500101007,25.02253,121.54326,130,5462,1,5,0.9090909090909092,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.25881904510252074,0.9659258262890683
500101008,25.02112,121.53407,130,7804,2,5,0.3529411764705882,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387
500101009,25.01976,121.53384,130,10804,3,5,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.7071067811865476,0.7071067811865476
500101010,25.01894,121.53361,130,18902,5,5,0.05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890683,0.25881904510252074
500101012,25.01986,121.52982,129,77403,21,4,0.75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.433883739117558,-0.9009688679024191,-0.7071067811865477,0.7071067811865474
500101013,25.02543,121.54332,130,21375,5,5,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890683,0.25881904510252074
500101014,25.01717,121.53202,130,21796,6,5,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17
500101015,25.02089,121.54697,129,85335,23,4,0.0526315789473684,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.433883739117558,-0.9009688679024191,-0.25881904510252157,0.9659258262890681
500101016,25.01927,121.52989,130,17295,4,5,0.625,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001
500101018,25.01895,121.53156,130,16262,4,5,0.4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001
500101019,25.024461,121.546705,130,19322,5,5,0.5416666666666666,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890683,0.25881904510252074
500101020,25.02093,121.5331,306,13694,3,6,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.7818314824680299,0.6234898018587334,0.7071067811865476,0.7071067811865476
500101021,25.01385,121.53549,130,14175,3,5,0.4285714285714285,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.7071067811865476,0.7071067811865476
500101022,25.01491,121.53438,130,14956,4,5,0.3737373737373737,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001
500101023,25.01244,121.53661,130,14055,3,5,0.08,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.7071067811865476,0.7071067811865476
500101024,25.01451,121.54142,130,4635,1,5,0.02,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.25881904510252074,0.9659258262890683
500101025,25.01295,121.53973,130,8342,2,5,0.0303030303030303,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387
500101026,25.01137,121.54062,130,3182,0,5,0.4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.0,1.0
500101027,25.01182,121.54165,130,18242,5,5,0.8974358974358975,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890683,0.25881904510252074
500101028,25.01426,121.54382,130,16804,4,5,0.25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001
500101029,25.01234,121.54503,129,86056,23,4,0.0666666666666666,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.433883739117558,-0.9009688679024191,-0.25881904510252157,0.9659258262890681
500101030,25.0136,121.54656,130,19742,5,5,0.5882352941176471,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890683,0.25881904510252074
500101031,25.01537,121.54698,130,21796,6,5,0.95,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17
500101032,25.01637,121.54535,130,17894,4,5,0.9836065573770492,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001
500101033,25.01664,121.5452,130,22037,6,5,0.95,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17
500101034,25.01576,121.54291,130,1818,0,5,0.2777777777777778,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.0,1.0
500101035,25.01787,121.5476,130,13022,3,5,0.125,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.7071067811865476,0.7071067811865476
500101036,25.02032,121.54497,130,974,0,5,0.25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.0,1.0
500101037,25.02076,121.54432,130,9302,2,5,0.45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387
500101038,25.02101,121.54284,130,17702,4,5,0.2222222222222222,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001
500101039,25.02104,121.54081,130,12482,3,5,0.0714285714285714,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.7071067811865476,0.7071067811865476
500101040,25.0222,121.53626,130,14822,4,5,0.24,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001
500101041,25.02218,121.53474,130,2294,0,5,0.04,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.0,1.0
500101042,25.01727,121.54471,130,19742,5,5,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890683,0.25881904510252074
500101091,25.022864,121.546622,130,10682,2,5,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387
500101092,25.021641,121.54704,130,19442,5,5,0.44,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890683,0.25881904510252074
500101093,25.021469,121.544069,129,82804,23,4,0.2608695652173913,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.433883739117558,-0.9009688679024191,-0.25881904510252157,0.9659258262890681
500101094,25.02193,121.53165,130,6375,1,5,0.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.25881904510252074,0.9659258262890683
500101095,25.0189,121.55013,130,19275,5,5,0.945945945945946,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890683,0.25881904510252074
500101097,25.01856,121.55558,130,18781,5,5,0.8780487804878049,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890683,0.25881904510252074
500101098,25.01623,121.55037,130,4803,1,5,0.52,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.25881904510252074,0.9659258262890683
500101099,25.021,121.55211,130,17161,4,5,0.6818181818181818,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001
500101100,25.0181,121.55929,130,662,0,5,0.72,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.0,1.0
500101101,25.02397,121.55266,130,13022,3,5,0.3125,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.7071067811865476,0.7071067811865476
500101102,25.02705,121.55551,130,9302,2,5,0.5454545454545454,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387
500101103,25.02694,121.55325,130,16321,4,5,0.7241379310344828,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001
500101104,25.02021,121.52942,130,4,0,5,0.3888888888888889,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.0,1.0
500101105,25.02669,121.52529,130,4203,1,5,0.0444444444444444,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.25881904510252074,0.9659258262890683
500101107,25.02638,121.52971,130,18063,5,5,0.8235294117647058,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9659258262890683,0.25881904510252074
